1,2,3,female,male,C,Q,S,Dr,Master,Miss,Mr,Mrs,adult,aged,child,senior,High,Low,Age,Fare,SibSp,Parch,Family_Size,Family,AgeFill,Fare_Per_Person,Cabin,AgeClass,ClassFare
0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,-0.0967468917700279,-0.048707370121739375,0.0596240179573513,-0.06359895248784138,0.009539842873176208,-0.035493827160493825,-0.0967468917700279,-0.03179864647948553,1,0.004673343624375442,-0.040179826965722996
1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0.10430864982333728,0.07627730769869326,0.0596240179573513,-0.06359895248784138,0.009539842873176208,-0.035493827160493825,0.10430864982333728,0.030693692430730786,1,-0.12197764244401609,0.00816145438228527
0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,-0.046483006371686605,-0.047389857865947585,-0.0653759820426487,-0.06359895248784138,-0.09046015712682379,-0.035493827160493825,-0.046483006371686605,-0.02340560544258972,1,0.0589523376536861,-0.015000703855035578
1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0.0666107357745813,0.04078586977167291,0.0596240179573513,-0.06359895248784138,0.009539842873176208,-0.035493827160493825,0.0666107357745813,0.012947973467220613,1,-0.13554739095134374,-0.009584264581224907
0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0.0666107357745813,-0.04714587411487504,-0.0653759820426487,-0.06359895248784138,-0.09046015712682379,-0.035493827160493825,0.0666107357745813,-0.023161621691517167,1,0.18108007421963507,-0.014268752601817912
0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0.0,-0.04634892559037165,-0.0653759820426487,-0.06359895248784138,-0.09046015712682379,-0.035493827160493825,0.0,-0.022364673167013783,1,0.10914843382329197,-0.011877907028307766
1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0.30536419141670246,0.03837043063605463,-0.0653759820426487,-0.06359895248784138,-0.09046015712682379,-0.035493827160493825,0.30536419141670246,0.0623546830594125,1,-0.04960565040493521,0.03982244501096698
0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,-0.3480663187617344,-0.02172276725311506,0.3096240179573513,0.10306771417882528,0.3095398428731762,0.15200617283950618,-0.3480663187617344,-0.030647043174423082,1,-0.26672162652217785,-0.03672501705053566
0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,-0.033917035022101284,-0.041127673317419025,-0.0653759820426487,0.26973438084549195,0.1095398428731762,-0.035493827160493825,-0.033917035022101284,-0.03163059047174675,1,0.07252208616101376,-0.03967565894250667
0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,-0.19727466256671047,-0.004164135029927315,0.0596240179573513,-0.06359895248784138,0.009539842873176208,-0.035493827160493825,-0.19727466256671047,-0.009527028933579502,1,-0.16721013746844163,-0.0027121206550149665
0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,-0.3229343760625637,-0.0302621985406544,0.0596240179573513,0.10306771417882528,0.1095398428731762,0.027006172839506175,-0.3229343760625637,-0.028008765546158547,1,-0.2395821295075225,-0.02881018416574205
1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0.3556280768150437,-0.011036278956137255,-0.0653759820426487,-0.06359895248784138,-0.09046015712682379,-0.035493827160493825,0.3556280768150437,0.012947973467220613,1,-0.03151265239516499,-0.009584264581224907
0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,-0.12187883446919855,-0.04714587411487504,-0.0653759820426487,-0.06359895248784138,-0.09046015712682379,-0.035493827160493825,-0.12187883446919855,-0.023161621691517167,1,-0.022466153390279884,-0.014268752601817912
0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0.11687462117292259,-0.0018136931655947724,0.0596240179573513,0.7697343808454921,0.5095398428731762,0.2770061728395062,0.11687462117292259,-0.03015349890082489,1,0.23535906824894573,-0.03524438422974108
0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,-0.19727466256671047,-0.047528050262555084,-0.0653759820426487,-0.06359895248784138,-0.09046015712682379,-0.035493827160493825,-0.19727466256671047,-0.023543797839197217,1,-0.10388464443424586,-0.015415281044858056
0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0.31793016276628777,-0.031628507546660696,-0.0653759820426487,-0.06359895248784138,-0.09046015712682379,-0.035493827160493825,0.31793016276628777,-0.007644255123302825,1,0.20369632173184785,0.001053426965538384
0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,-0.3480663187617344,-0.0060102136840426736,0.4346240179573513,0.10306771417882528,0.40953984287317624,0.21450617283950618,-0.3480663187617344,-0.029399472927272095,1,-0.26672162652217785,-0.0329823063090827
0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0.0,-0.037484117572401957,-0.0653759820426487,-0.06359895248784138,-0.09046015712682379,-0.035493827160493825,0.0,-0.013499865149044088,1,-0.02518808529674976,-0.01065779308594414
0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0.01634685037624001,-0.02772476752949985,0.0596240179573513,-0.06359895248784138,0.009539842873176208,-0.035493827160493825,0.01634685037624001,-0.02130734518336577,1,0.1268010801903244,-0.008705923077363719
0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0.0,-0.04875616687195388,-0.0653759820426487,-0.06359895248784138,-0.09046015712682379,-0.035493827160493825,0.0,-0.024771914448596017,1,0.10914843382329197,-0.019099630873054465
0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0.0666107357745813,-0.012109807460856489,-0.0653759820426487,-0.06359895248784138,-0.09046015712682379,-0.035493827160493825,0.0666107357745813,0.011874444962501379,1,0.02276634163414566,0.040090827137146796
